epoch	acc	loss	val_acc	val_loss
0	0.627685546875	0.2497193021918065	0.61328125	0.2542454121867195
1	0.774658203125	0.1527525829478691	0.73828125	0.19520674575505836
2	0.802001953125	0.13836872220963414	0.71875	0.1917299244669266
3	0.805908203125	0.13284707373532	0.59765625	0.27408626838587224
4	0.82177734375	0.1213068667875632	0.66015625	0.20466155465692282
5	0.841064453125	0.11045278241908818	0.625	0.24307479173876345
6	0.83349609375	0.1178349786423496	0.79296875	0.14171530853491277
7	0.845458984375	0.10879936778474075	0.69921875	0.19674892822513357
8	0.861083984375	0.09874479496829736	0.69921875	0.20986832911148667
9	0.869140625	0.0970841702242069	0.77734375	0.15530155872693285
10	0.873779296875	0.09272341261657857	0.71875	0.1956237661652267
11	0.8818359375	0.09027598933880654	0.78515625	0.17865380685543641
12	0.868896484375	0.09631007414645865	0.8203125	0.13978087398572825
13	0.883544921875	0.08603371128992876	0.80859375	0.13431507494533435
14	0.8828125	0.08593615848985792	0.7890625	0.16035936499247327
15	0.881103515625	0.08647411846595787	0.8359375	0.12630800355691463
16	0.89501953125	0.0811491022550399	0.765625	0.14957404579035938
17	0.888427734375	0.0836590572730529	0.7890625	0.15980258502531797
18	0.90185546875	0.07564803861669134	0.78125	0.15519859653431922
19	0.894287109375	0.07989659428153573	0.8671875	0.10071631637401879
20	0.9228515625	0.06359462376894953	0.78515625	0.15131472946086433
21	0.915283203125	0.06714465427353389	0.77734375	0.15549964844831266
22	0.9140625	0.06554040788387283	0.828125	0.12559792184038088
23	0.916748046875	0.06605776170772515	0.85546875	0.12249168663402088
24	0.91552734375	0.06449530619374855	0.7890625	0.1500492598861456
25	0.923583984375	0.0620771489825529	0.81640625	0.1288500945083797
26	0.91845703125	0.06023645429104363	0.78125	0.1382321379496716
27	0.926513671875	0.060073922903484345	0.80859375	0.13264253793749958
28	0.93017578125	0.058949336476871395	0.796875	0.14243307546712458
29	0.927490234375	0.05852369612034636	0.80859375	0.13112201739568263
30	0.93017578125	0.05526195804532108	0.8125	0.1393048814497888
31	0.92333984375	0.05791409526273128	0.8046875	0.13922037550946698
32	0.93310546875	0.05701237004996074	0.828125	0.12836417858488858
33	0.9287109375	0.05704428186527366	0.83984375	0.11572272074408829
34	0.935791015625	0.05410129558185872	0.78515625	0.14632989250821993
35	0.933349609375	0.05653482359366535	0.828125	0.12183713144622743
36	0.932861328125	0.05549045886436943	0.79296875	0.13948705536313355
37	0.924560546875	0.05890827537803034	0.83984375	0.12397889292333275
38	0.937255859375	0.05220525743834514	0.8125	0.1344154904363677
39	0.93310546875	0.056195626661065035	0.78515625	0.14096629503183067
