epoch	acc	loss	val_acc	val_loss
0	0.7822265625	0.1528395830464433	0.6484375	0.22265094704926014
1	0.843505859375	0.11964604024979053	0.708984375	0.1812348449602723
2	0.859130859375	0.11162061091454234	0.775390625	0.16143190022557974
3	0.87939453125	0.10250609461218119	0.76953125	0.15966722485609353
4	0.8834228515625	0.0981658951350255	0.779296875	0.15850058081559837
5	0.8929443359375	0.0941185943884193	0.79296875	0.1560306625906378
6	0.90380859375	0.08913122924423078	0.802734375	0.14664050075225532
7	0.9097900390625	0.08487742673241883	0.81640625	0.1349416773300618
8	0.912353515625	0.0847557613014942	0.7890625	0.14974616025574505
9	0.9281005859375	0.07844889554689871	0.7890625	0.1585814452264458
10	0.925048828125	0.07654060770437354	0.81640625	0.13273861026391387
11	0.93408203125	0.07377687127518584	0.794921875	0.14584238943643868
12	0.935791015625	0.0710305767825048	0.8203125	0.13629118143580854
13	0.941162109375	0.0697372136892227	0.822265625	0.13323808507993817
14	0.93310546875	0.07108807394615724	0.869140625	0.12365577113814652
15	0.9373779296875	0.06870898916167789	0.8046875	0.1434521689079702
16	0.9488525390625	0.06414929528546054	0.8203125	0.14055176405236125
17	0.9464111328125	0.06501751693940605	0.845703125	0.12464630545582622
18	0.9512939453125	0.06216734820918646	0.81640625	0.14348670770414174
19	0.956298828125	0.06090570283777197	0.822265625	0.13696235278621316
20	0.955322265625	0.05848212420460186	0.8359375	0.12468362576328218
21	0.9542236328125	0.05875464671407826	0.845703125	0.11935551022179425
22	0.9527587890625	0.05745402663160348	0.822265625	0.1303844943176955
23	0.957275390625	0.056731900691374904	0.833984375	0.12586317397654057
24	0.961181640625	0.0544903201807756	0.857421875	0.12447219621390104
25	0.961669921875	0.054860479292983655	0.8203125	0.1318192940670997
26	0.961181640625	0.054408056024840334	0.845703125	0.1278812054079026
27	0.95849609375	0.054761651019362034	0.83203125	0.12295590224675834
28	0.9630126953125	0.053927246408420615	0.849609375	0.12517136987298727
29	0.9580078125	0.05579956896690419	0.837890625	0.12612880277447402
30	0.963623046875	0.053546207933322876	0.83984375	0.13128458196297288
31	0.9630126953125	0.054325693748978665	0.837890625	0.13532500760629773
32	0.964111328125	0.0527035118866479	0.787109375	0.14457731787115335
33	0.9613037109375	0.053570900065096794	0.822265625	0.1314326678402722
34	0.962158203125	0.053748589432871086	0.833984375	0.1254468362312764
35	0.96142578125	0.05395788574423932	0.818359375	0.13161111064255238
36	0.9637451171875	0.0535572265907831	0.8203125	0.13324858155101538
37	0.9625244140625	0.05483729990373831	0.849609375	0.12367148068733513
38	0.9635009765625	0.05343327277296339	0.845703125	0.12382733740378171
39	0.9649658203125	0.05391365727700759	0.837890625	0.12579743284732103
